Link,Name,Location,Start,End
USARLCMP,Adventist Robotics League Championship,USA,2023-05-07 00:00:00,2023-05-07 00:00:00
USMIAAOS,Girls R GRAYT All Girls Event,USA,2023-05-05 00:00:00,2023-05-06 00:00:00
USMIGIOS,Gibraltar FTC Spring Showdown,USA,2023-05-05 00:00:00,2023-05-06 00:00:00
USPAPHOS,PA FTC RoboJawn,USA,2023-05-06 00:00:00,2023-05-06 00:00:00
FRLEOS,FR Le Défi Robotique – Lyon 2023,France,2023-05-13 00:00:00,2023-05-13 00:00:00
USMITCOS2,MI TC West Remote Event,USA,2023-05-07 00:00:00,2023-05-13 00:00:00
USMIKIOS,Kingsford Spring Event,USA,2023-05-12 00:00:00,2023-05-13 00:00:00
USMIRCOS,Reed City Spring Event,USA,2023-05-12 00:00:00,2023-05-13 00:00:00
USMIJAOS,Jackson FTC Spring Event,USA,2023-05-12 00:00:00,2023-05-13 00:00:00
USORROOS,OR Spring Showcase,USA,2023-05-13 00:00:00,2023-05-13 00:00:00
USTXWPROS,TX- WP CEN Exhibition,USA,2023-05-13 00:00:00,2023-05-13 00:00:00
USAZFLOS,AZ Lunar Legacy Invitational,USA,2023-05-20 00:00:00,2023-05-21 00:00:00
USMIFROS,Freeland FTC Gear-Up!,USA,2023-05-19 00:00:00,2023-05-20 00:00:00
USORGLOS,OR Spring Showcase 2,USA,2023-05-20 00:00:00,2023-05-20 00:00:00
USORMLS,OR Spring Scrimmage and Showcase,USA,2023-05-20 00:00:00,2023-05-20 00:00:00
USIADMOS,IA CelebrAsian Off-Season Event,USA,2023-05-27 00:00:00,2023-05-27 00:00:00
USTXCESAOS,2023 Blackout Battle Royale,USA,2023-05-27 00:00:00,2023-05-27 00:00:00
USMITCOS1,MI TC East Remote Event,USA,2023-05-28 00:00:00,2023-06-03 00:00:00
USWASAOS,WA Spartan Showdown,USA,2023-06-03 00:00:00,2023-06-03 00:00:00
USMIBHOS1,MI FiM Remote Event,USA,2023-05-30 00:00:00,2023-06-05 00:00:00
USCTSTOS,CT Husky Robotics Invitational,USA,2023-06-17 00:00:00,2023-06-17 00:00:00
GBCAOS,GB New Teams Regional,United Kingdom,2023-06-23 00:00:00,2023-06-23 00:00:00
GBCMP,Championship- United Kingdom,United Kingdom,2023-06-23 00:00:00,2023-06-23 00:00:00
USALHUOS,AL betaSEIT,USA,2023-06-22 00:00:00,2023-06-24 00:00:00
USOKMUOS,OK-Northeast (NEO) Invitational,USA,2023-06-24 00:00:00,2023-06-24 00:00:00
USCHSLAOS,Maryland Tech Invitational,USA,2023-06-23 00:00:00,2023-06-26 00:00:00
USCANOSMOS,Lobster Cup International,USA,2023-07-09 00:00:00,2023-07-09 00:00:00
AUMPOS1,AU APOC 2023,Australia,2023-07-14 00:00:00,2023-07-16 00:00:00
USILCHOS,IL Chicago Robotics Invitational,USA,2023-07-14 00:00:00,2023-07-16 00:00:00
USOHAKOS,OH KSS Robotics Turtle Friendly,USA,2023-07-29 00:00:00,2023-07-29 00:00:00
USNDBIS,ND Scrimmage,USA,2022-09-10 00:00:00,2022-09-11 00:00:00
USAZTUS,"AZ Tucson ""Meet the Field"" Day",USA,2022-09-24 00:00:00,2022-09-24 00:00:00
USOKOCS,OK Tinkerfest,USA,2022-09-24 00:00:00,2022-09-24 00:00:00
USMNSPS,MN Cass Lake League Meet 0,USA,2022-09-29 00:00:00,2022-09-29 00:00:00
USMSBCS1,MS Bogue Chitto Build-it Day/Scrimmage,USA,2022-10-01 00:00:00,2022-10-01 00:00:00
USAKAKSCM1,AK Southcentral Alaska League Meet #1,USA,2022-10-07 00:00:00,2022-10-07 00:00:00
USIDPFS1,ID North Idaho Scrimmage #1,USA,2022-10-08 00:00:00,2022-10-08 00:00:00
USAKJUS2,AK Southeast Scrimmage #1,USA,2022-10-15 00:00:00,2022-10-15 00:00:00
USFLFLS,FL South Florida League Scrimmage and Volunteer Training,USA,2022-10-15 00:00:00,2022-10-15 00:00:00
USGAGAS,GA N Georgia League Scrimmage,USA,2022-10-15 00:00:00,2022-10-15 00:00:00
USMNAVS,MN FTC Mille Lacs / Pepin League Meet 0,USA,2022-10-16 00:00:00,2022-10-16 00:00:00
USMNBES,MN FTC Vermillion League Meet 0,USA,2022-10-14 00:00:00,2022-10-14 00:00:00
USMSLAS,MS LCS Build-it Day/Scrimmage,USA,2022-10-15 00:00:00,2022-10-15 00:00:00
USNYNYNYS,NY-NYC Scrimmage,USA,2022-10-15 00:00:00,2022-10-15 00:00:00
USORRBS,OR North Coast League Meet 0,USA,2022-10-15 00:00:00,2022-10-15 00:00:00
USTXWPAMS,TX-W&P Amarillo Scrimmage,USA,2022-10-15 00:00:00,2022-10-15 00:00:00
USTXWPMIS,TX-W&P Midland Scrimmage,USA,2022-10-15 00:00:00,2022-10-15 00:00:00
USFLSPS,FL Gulf Coast League Scrimmage,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USFLFLACM1,FL AeroCoast League Meet #1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USGAETOWM1,GA Etowah Meet 1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USGAATHM1,GA Caterpillar Meet 1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USIAWIM4,IA Wind_Meet_2022-10-22,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USKYKYM4,KY Beaker Meet #1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USMIOCM1,MI OCCRA Meet 1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USMIDHS1,MI Detroit Metro Scrimmage,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USOHNAS,OH Central Ohio League Meet 0,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
