Team Number,Team Name,Region
1,Team Unlimited,Massachusetts
7,Tactical Sheep,Chesapeake
18,Techno Chix,New York Excelsior
22,100 Scholars,Georgia
25,Rock N' Roll Robots,California Southern
40,HAX Robotics,Connecticut
54,Gr3y Matt3r,Montana
92,Junior Bomb Squad,Arkansas
112,RoboKnights Team 112,Georgia
118,Steel Hornets,Pennsylvania
124,Syosset Supersonics,New York Long Island
127,The Fighting Pickles,Texas North
130,Blazing Spirits,Connecticut
133,Arrows,Massachusetts
149,Hawks,Rhode Island
187,Phoenix,Oregon
194,ILITE - Ingenuity,Chesapeake
201,BroncoBotsONE,Arizona
202,BroncoBotsTOO,Arizona
207,Critical Mass,New Jersey
208,The Highlighters,South Carolina
226,Oakton Cougar Robotics 226,Chesapeake
247,Reboot,New Jersey
248,Fatal Error,New Jersey
251,Mech-alodons,New Jersey
252,Electric Quahogs,Rhode Island
265,Viking Robotics,Wisconsin
267,EMP,Oregon
288,Spare Parts,Missouri
289,Robohawks 289,Missouri
290,Robohawks 290,Missouri
291,Robohawks 291,Missouri
293,Medium Builders,Chesapeake
310,Stuy Fission,New York City
327,The Lobotomists,South Carolina
354,ILITE - Inspiration,Chesapeake
358,Gaulbots,California Southern
359,WEBB.exe,California Southern
365,MOE (The Miracle Workerz),Delaware
367,Salad,Iowa
369,Oakton Cougar Robotics 369,Chesapeake
389,The Swarm,Chesapeake
392,ILITE - Imagination,Chesapeake
406,Boulson's Revenge,Missouri
417,S.K.I.D. (Space Koalas In Disguise),Washington
450,Children of the Swamp,Florida
479,Stuy Fusion,New York City
506,Pandara,Florida
516,Gears of Fire,Florida
519,Epsilon Delta Too,Chesapeake
524,Boss Bots,California Northern
525,Success,Georgia
535,TOBOR,Indiana
542,WHS Robotics,California Southern
596,SpectreBots,California Northern
607,Dragon Slayers,Chesapeake
609,Cougars,New Jersey
636,Occam's Razor Clams,Rhode Island
641,Roboscotia,Florida
652,Underdogs,Rhode Island
654,Barrington Bionics,Rhode Island
673,Subatomic Tomahawks,South Carolina
701,The GONKa Trucks,Rhode Island
724,RedNek Robotics Wun,Montana
731,Wannabee Strange,North Carolina
750,Gears in Motion,Oregon
753,The GreenVillains,South Carolina
755,Delbotics,New Jersey
772,Golden Govies,South Carolina
965,The League of Incompetent Gentlemen,Chesapeake
1001,Hacksaw,Ohio
1002,CircuitRunners Robotics - Surge,Georgia
1622,Team Spyder,California San Diego
1885,ILITE - The Legacy,Chesapeake
2408,Shrapnel Sergeants,Missouri
2425,Hydra,Florida
2818,G-FORCE,Chesapeake
2827,Artificial Stupidity,North Carolina
2836,Trobots,Wyoming
2844,Valley X Robotics,Arizona
2845,Team Duct Tape,Florida
2858,"Sparbots, FTC Green",Georgia
2866,"Territory of Static, Pattonville High School",Missouri
2867,"Degrees of Freedom, Pattonville High School",Missouri
2879,Technical Difficulty,Montana
2887,Bucket Brigade,Minnesota
2901,Purple Gears,North Carolina
2923,Kaybots,Illinois
2939,MekoNeko,Washington
2993,Blue RoboDragons,Georgia
3006,TeraBots,New York City
3032,Hyperion,Rhode Island
3033,Techno Riderz,Texas Central
3050,G-Bots,Nevada
3058,Live Wire,Oregon
3081,Bobblebots,Alaska
3093,The Metal Mercenaries,Oregon
3101,Boom Bots,Florida
3116,Robo Warriors,Chesapeake
3123,Spontaneous Combustion,Florida
3188,Squiggle Splat Bang,Montana
3189,Rapid Unscheduled Disassembly,Montana
3208,L8 Lynx,Alaska
3216,Robophins,Illinois
3231,NekoMeko,Washington
3296,Bots in Blue,Texas Central
3311,Innovators Robotics,Ohio
3351,Tater Bots,Rhode Island
3371,BÃ¶tley CrÃ¼e,New York City
3397,Essex Robotics,Vermont
3409,Astromechs,Missouri
3415,Lancers,New Jersey
3470,The Patriots,California Northern
3479,Generals,Colorado
3491,FIX IT,British Columbia
3505,Cadet Bot Crew,Missouri
3507,Robotheosis,Illinois
3526,Marlbots,California Southern
3537,The MechaHamsters,Indiana
3540,RoboBoogie,New York Long Island
3543,Titan Robotics Club,Washington
3558,FireBots,Minnesota
3565,Ghost Robotics,Massachusetts
3583,Cybirds,Chesapeake
3587,Unparalleled Processing,North Carolina
3591,The QUARKS,Missouri
3592,The MESONS,Missouri
3609,Polar Technics,Iowa
3615,Arlington Automatons,Massachusetts
3638,Atomic Shock,Oklahoma
3640,The BoilerBots,Illinois
3641,PPS Robotics,South Carolina
3650,Torrey Techies,California San Diego
3658,The BOSONS,Missouri
3665,Leopold GearHeads,Missouri
3666,Hawks Robotics,Arizona
3708,Iron Eagles Optimus,Texas Central
3734,Iron Giant,Texas North
3736,Serious Business,Florida
3737,Hank's Tanks,Massachusetts
3738,Jag-Wires,Iowa
3746,NECO Robo Knights,Colorado
3747,The Hive,Utah
3749,Good Enough,Chesapeake
3750,Rush Henrietta Royal Robotics,New York Excelsior
3763,Piece of Cake,Minnesota
3764,Since Sliced Bread,Minnesota
3766,Happy Dave,Alaska
3774,Hive Voltage,New Jersey
3777,Mecha Lion,New Jersey
3781,Pi-Rho Maniacs,Texas Central
3788,C.A.T. S (Chaos Applied to Science),Iowa
3791,Ziptiez,California Northern
3795,JagWired,Pennsylvania
3796,Talons,Chesapeake
3804,Team Snuffleupagus,Chesapeake
3805,Atomic Robotics,Washington
3819,Green RoboDragons,Georgia
3825,Lightning Lynx,Alaska
3830,Violet Fusion,Florida
3839,Mechanical Geniuses,Florida
3846,Maelstrom,Florida
3848,Shockwave,California San Diego
3861,"Vashon Pi-r8s ""Pirates""",Washington
3888,Greased Lightning,Florida
3900,Mechasharks,Pennsylvania
3916,Apex Robotics,North Carolina
3922,Modibot,New York City
3944,Team Mercury,New Jersey
3954,Pink to the Future,Netherlands
3963,Iron Legion,Oregon
3965,Twisted Metal,Oregon
3981,The Griffins,Jamaica
4008,Bronc Botz - Atlas,Texas Central
4017,RoboPandas,New York Long Island
4029,2 Bits and a Byte,Massachusetts
4042,Nonstandard Deviation,Washington
4053,Mavens of Mayhem,Washington
4054,Gradle Demons,Washington
4087,Midwest Oilers,Wyoming
4096,"T-10   (\""T minus Ten\"")",Massachusetts
4097,The Pac-Bots,Oregon
4100,Darbots 1,Georgia
4102,CHS Cougars,New Jersey
4104,Robo Lobo,Colorado
4106,Supposable Thumbs,Wisconsin
4115,Men in Kilts,Wisconsin
4116,Volta Robotics,Wisconsin
4133,Fusion,Montana
4137,IslandBots,New York Long Island
4149,Terabytes,Pennsylvania
4150,Dark Matter,Iowa
4153,Neptune,California Southern
4155,M.I.T (Muskogee's Innovative Team),Oklahoma
4156,RoboCats Red,Iowa
4169,H.A.R.I.S.H.,Alberta
4174,Atomic Theory,New York City
4175,MechaMETROzilla,Iowa
4177,Finger Tightans,Iowa
4185,Silver Soldiers,Pennsylvania
4193,Those Guys,Missouri
4194,Silent Reign,Missouri
4200,The X-Squared Factor,Delaware
4215,Hypnotic Robotics,New Jersey
4216,Rise of Hephaestus,California San Diego
4221,SmÃ­Ã°a Syndicate,Georgia
4227,Metal Morphosis,Florida
4228,Gears Of Other Dimensions,Florida
4232,Energizer Bunnies,Georgia
4234,Engineered Chaos,Chesapeake
4237,CBOT,Iowa
4239,Viridescent Vipers,Oregon
4243,Iron Devils,New York Excelsior
4250,LIGHTSABERS,Oklahoma
4262,Ridgebots,California San Diego
4266,Makin' Stuff Move,Oklahoma
4267,RoboChix,Wisconsin
4273,Aluminati,Montana
4286,Dragonoids,Connecticut
4324,Lost In Time,Iowa
4326,Basement Lions,New York City
4327,Silver Titans,Georgia
4328,C'est la vie,New Jersey
4345,Aragon Robotics,California Northern
4347,NanoGurus,New Jersey
4348,RoboKnights,California Southern
4358,Neuro Link,Alaska
4360,Raider Robotics,Ohio
4366,Westside Gold,Indiana
4410,ARC Lightning,Massachusetts
4416,Steel Stallions,Texas Central
4419,PokÃ¨bots,Chesapeake
4443,Sock Monkeys,Iowa
4444,Whitefield Robocats,Kentucky
4451,FireFoxes,Chesapeake
4454,Mohawk Warriors Green,Texas Houston
4466,R.A.B.B.I.,Massachusetts
4475,Purple Reign,California Northern
4509,Excalibots,Minnesota
4511,Maker Industries,Oregon
4531,Gearwigs,Rhode Island
4537,DRSS Enterprise,Ohio
4545,ViperBots Ouroboros,Texas Central
4546,ViperBots SnakeByte,Texas Central
4602,Bronc Botz - Prometheus,Texas Central
4622,L.O.C.S.,North Carolina
4625,Kings and Queens,California Southern
4628,Suit Bots,California Southern
4634,FROGbots - Purple,Chesapeake
4641,RoboSharks,Texas Houston
4650,Crusader Robotics,Minnesota
4654,Jellyfish,New York Excelsior
4705,Adamas Robotics,Texas North
4707,Midway Predators,Texas Central
4711,Ursa Mechanica,Oregon
4717,Mechromancers,Florida
4719,STEAM Galileo,Texas Central
4720,STEAM Newton,Texas Central
4721,STEAM Einstein,Texas Central
4745,Grand Tech Automation,Texas North
4774,Fairfield Prep JesuBots,Connecticut
4780,Robolution,New York City
4781,MechaKnights,New York City
4782,The Super Troublemakers,New York City
4783,Dynamic,New York City
4784,Tetricons,New York City
4785,Anonymous Autonomous,New York City
4798,ROBUFFS Dough Boys 4798,Texas Central
4809,Botman,New York Excelsior
4812,ROBUFFS Rangers 4812,Texas Central
4813,EngiNERDS,Montana
4848,Chaos,Texas South
4849,Sabotage,Texas South
4859,Westerner Mechnoblades,Texas West & Panhandle
4885,OmegaBotz,Texas West & Panhandle
4886,Robo Junkies,Texas West & Panhandle
4890,AArcHive,New Jersey
4894,Waggish Walen's Western Warblers,Texas West & Panhandle
4895,The Dueling Westerners,Texas West & Panhandle
4897,Bodacious Bulldawgs,Texas West & Panhandle
4902,Team Novabots,Texas Central
4906,Junkyard Dawgs,Texas West & Panhandle
4914,SCH FTC XCalibur,Pennsylvania
4921,The Dropouts,Texas West & Panhandle
4924,Red Beard Pandas,Chesapeake
4936,Sparks,New Jersey
4943,RoboFusion,California Northern
4946,Robo Raiders,Vermont
4947,Cougarobotics Alpha,California Southern
4949,Warriors,North Carolina
4950,Traffic Cones,California Northern
4951,Dimond Legendary Lynx,Alaska
4957,FM Robotics Team,New York Excelsior
4964,Rolla Patriots,Missouri
4965,Animatores Romani,Illinois
4969,Robot-X,Ohio
4970,Loose Screws,Chesapeake
4982,Cafe Bot,Missouri
4991,Gear Freaks,Chesapeake
4995,Titanium Tigers,New York City
4997,Masquerade,Florida
4998,SPQR - SenÄtus Populusque RÅboticus,California Northern
5009,Helios,Alberta
5011,Bot Squad 5011,California Southern
5014,Future Gadget Lab,Chesapeake
5015,Buffalo Wings,California San Diego
5017,RoboEpic,Connecticut
5020,KilaBots,New York Excelsior
5026,Tesla Coils,Montana
5037,got robot?,Illinois
5039,DevilBots,Oregon
5040,Nuts & Bolts,Kentucky
5044,Black Pearl Robotics,Oklahoma
5053,Clearwater Atomic Robotic Technicians,Idaho
5060,Milton Static,Massachusetts
5062,The Four Horsemen,Iowa
5064,Aperture Science,North Carolina
5070,N.U.T.S.,Florida
5072,Wildcats,Illinois
5094,Still Under Development,Iowa
5095,The LEPTONS,Missouri
5105,Dragons,Alabama
5108,Amish Electricians,Missouri
5115,Wizards Robotics 5115,Colorado
5118,The HADRONS,Missouri
5119,The BARYONS,Missouri
5125,Raiderbots,Florida
5126,DICE,Iowa
5131,Pointers,California San Diego
5136,Crusader Creators,California San Diego
5140,WACO Aerobotics,Ohio
5141,Warrior Bots,Oklahoma
5143,Xcentrics,Iowa
