Team Number,Team Name
5951,Mustangs
8990,Mile High Academy Mustangs
11020,SKI SKY
15931,Tin Heads
16899,CPUsaders_T
18457,GatorBytes
18783,Eagle Tech
19475,Ducksters
19712,NDAASentinels
20840,The Senjus of Raleigh
21362,System UI 
21391,Mighty Cypress
21993,Tech Titans
22840,Robugatti
22859,The Gearhead Gladiators
5292,Red Storm Robotics-White
6482,Red Storm Robotics-Red
7048,Purple Protons
7065,JunkYard Bots
7305,The GearCats - Clague Middle School
8603,The Fighting Gnomes
9931,Northeast Viking Vendors
9933,Blazin' Turtles
10477,Rapid Robots
11618,Chelsea Gremlins
11691,Scripps Dragons
12862,Power Dragons
14649,WBSD FTC - Anchorbots
15004,Tech KNOW Logic
15104,Static Eagles
15301,Valkyries
15353,Heritage Hackers
15397,Power Raiders
16523,Automated Eagles
17155,Baker Dynamics
17768,Little HOLLYWOOD
17975,Botmasterz
19429,Infrared
22300,WBSD FTC - Wall-EB
22373,WBSD FTC - Gator Gears
8482,Robobucs
8487,Robo Toasters Orange
8987,Robobucs
10210,Aztechs
11520,Omegabots 11520
12294,Terror Hawks
12303,Hacker Hawks
12379,Rockwood Rancor
12459,Gibraltar Jedi
12549,Robo Rebels 12549
13019,Platinum Panthers 13019
13684,Infinity Tech
13996,DIA
14003,The Sampson Webber Sampson-ites
14771,Robo Gators
14773,Old Redford Academy Middle School
15719,Blazin Bots
15809,Cobalt Clippers
18474,The Robotic Bulldogs
18989,Tech Titans
20282,Marion Law Academy
20682,Flying Falcons
22235,Merit  22235
22395,Fort Gratiot Lumberjacks
22415,Robo Toasters Blue
22600,Fulton Middle School
22602,Central Cyber Cougars
22886,Warner FTC Team
20989,UK 100 - Lycée International de Valbonne - BaguetTechs
20990,UK 101 - Lycée International de Valbonne - TheFrenchineers
20991,UK 148 - Lycée International de Valbonne - FRITES
21403,ERH-Paris
21407,Jol Robot Team
21420,Robot Lamar'Team
21425,GaliléoBots
21434,Bel Air Robot
22225,Marabouteur
22698,Notre Dame de Bel Air
22948,ISL Robotics
23107,LCP Robotics
23147,TechRBL
23149,Hall Robotiks
23151,DémoTech
15831,TC WMS 1
15832,TC WMS 2
15833,TC WMS 3
15837,TC WMS 4
15838,TC WMS 5
15839,TC WMS 6
15840,TC WMS 7
15841,TC WMS 8
15842,TC WMS 9
15843,TC WMS 10
15844,TC WMS 11
15845,TC WMS 12
15847,TC WMS 13
15848,TC WMS 14
15849,TC WMS 15
15850,TC WMS 16
15852,TC WMS Tech 17
10062,Robogators
12075,Menominee Jr High
13991,FlivverConnect
13997,BB-Bots
14846,8th Grade 5
14849,7th Grade 1
15485,7th Grade 2
15487,7th Grade 3
15726,Rubix Cubix
15783,7th Grade 5
17286,Menominee Jr High II
20246,NCA2
20247,NCA3
20248,NCA1
7772,P.A.N.T.H.E.R.S.
17352,The Robotic Rangers
18980,RaiderBots
20348,M.A.S.T.O.D.O.N.S.
20881,Lake City Bionic Trojans
20935,NorthPointe Middle
22416,GigiCats
22739,KoolKats
5559,Holmes RoboHawks
7255,STEAM Stingers
7360,Gears and Spears
10136,Frost RoboFalcons
10137,Emerson RoboEagles
10735,JaXon Falcon Works - Gold
13028,Cougar-Bots
14015,MC Hammers
14379,RoboDojo Eagles
14776,Munger Leones
15547,Birds of Power
17711,River Rouge Roaring Robotics
19770,JaXon Falcon Works - Maroon
20511,Bionic Bulldogs
20512,Irondogs
21537,Sneaky Suspicion
21615,Rocket Robotics
22601,RoboComets Jr. 
22805,The Mighty Cavbots
22888,Hornets
22889,Saints
22918,Girl Botz
23026,Team Triumph 1
23164,St Stephen Stallions 
9339,Frog Force
9567,Cybernetic Elks
12599,Overcharged
12693,Hydrogen Hammerhead
12695,Goonies
12808,RevAmped Robotics
13189,Scorpio
14126,Fibonacci
15341,Leo
15342,Aries
22559,Winkiedinks
14608,SunrayBotCats
16730,Cat-alytic Converters
21792,CEN-Unified
21888,Floydada Collegiate Team A
21889,Floydada Collegiate Team B
21899,Hico Tiger Robotics
22165,SPACEB@LLS
22234,Hamlin Pipers
22693,CEN--Pirates
5386,Fabricators
10601,CBA RoboKings
10615,Jefferson CyDogs
10844,Wildbots
20901,RoboBears
21672,More Fabricators
22000,Chandler Park Academy(MS)
22881,OMS 6th Grade Trojans
22882,Beaverton Elementary Team #5
22885,OVMS BB-8
23027,OVMS WALL-E
99999,Off-Season Demo Team
9974,T.H.O.R. 
16736,Atomic Narwhals
18050,Team Photon
19415,C3 Robotics
20024,Nacho Typical Team
20077,The Indubitables
22187,A.I.R. 
22189,F.I.R.E.
4008,Bronc Botz - Atlas
4602,Bronc Botz - Prometheus
5188,Team Phoenix
5189,Team Wolves
5243,Team Griffin
6976,Bronc Botz 
13893,Team BeSST-13893
13895,Team LiveWire
15221,Astro Hawks
15703,Teen Tech Titans
16377,Spicy Ketchup
16458,TechnoWizards
16555,Deus ex Maquina
16556,Steminists
18140,TBD (Thunder Bolts in Disguise)
18244,Hestia
18908,Mighty Hawks
19412,Archytas
21337,Dinobyte
15856,Traverse City EAST 1
15857,Traverse City EAST 2
15859,Traverse City EAST 5
15861,Traverse City EAST 11
15862,Traverse City EAST 12
15863,Traverse City EAST 13
15864,Traverse City EAST 7
15865,Traverse City EAST 8
15866,Traverse City EAST 9
15867,Traverse City EAST 3
15868,Traverse City EAST 14
15869,Traverse City EAST 4
15870,Traverse City EAST 6
15871,Traverse City EAST 10
15872,Traverse City EAST 15
15874,Traverse City EAST 16
20883,Traverse City EAST 17
20884,Traverse City EAST 18
20886,Traverse City East 19
20887,Traverse City EAST 20
20888,Traverse City EAST 21
20889,Traverse City EAST 22
20892,Traverse City EAST 23
20893,Traverse City EAST 24
20894,Traverse City EAST 25
20895,Traverse City EAST 26
20896,Traverse City EAST 27
20897,Traverse City EAST 28
