OPR1,Auto1,CCWM1,OPR2,Auto2,CCWM2,OPR3,Auto3,CCWM3,OPR4,Auto4,CCWM4,score1,score2,diff
8.395,-0.022,-9.549,19.636,7.744,-1.061,9.2,5.34,-7.358,19.419,0.92,7.049,10,11,-1
30.249,3.832,0.955,23.221,0.917,9.205,30.385,6.337,19.276,9.255,-1.4,-34.784,54,53,1
26.519,16.166,-10.107,10.814,-1.389,-23.144,41.043,20.68,32.135,55.191,8.177,43.42,18,112,-94
19.483,-1.717,4.942,26.045,8.938,-10.641,13.682,3.556,-4.862,24.699,-1.974,13.608,43,18,25
25.097,3.822,9.234,45.705,0.179,21.714,36.723,6.247,-28.192,4.368,-1.299,-19.308,76,18,58
14.402,0.2,-18.933,38.101,6.727,10.853,23.07,0.73,-2.523,6.969,0.549,-42.997,40,39,1
37.904,-0.77,-5.678,76.316,22.942,53.448,21.647,3.019,-22.013,35.979,0.551,24.078,96,50,46
9.881,-0.784,-36.671,16.028,4.284,10.052,29.742,1.128,6.813,33.635,-3.032,11.04,22,36,-14
9.2,5.34,-7.358,13.682,3.556,-4.862,9.255,-1.4,-34.784,55.191,8.177,43.42,14,21,-7
19.636,7.744,-1.061,25.097,3.822,9.234,19.483,-1.717,4.942,23.221,0.917,9.205,42,40,2
23.07,0.73,-2.523,10.814,-1.389,-23.144,4.368,-1.299,-19.308,19.419,0.92,7.049,28,31,-3
8.395,-0.022,-9.549,21.647,3.019,-22.013,24.699,-1.974,13.608,30.385,6.337,19.276,27,43,-16
35.979,0.551,24.078,14.402,0.2,-18.933,9.881,-0.784,-36.671,41.043,20.68,32.135,42,41,1
33.635,-3.032,11.04,26.519,16.166,-10.107,38.101,6.727,10.853,26.045,8.938,-10.641,69,51,18
6.969,0.549,-42.997,36.723,6.247,-28.192,29.742,1.128,6.813,76.316,22.942,53.448,41,152,-111
45.705,0.179,21.714,30.249,3.832,0.955,37.904,-0.77,-5.678,16.028,4.284,10.052,69,31,38
55.191,8.177,43.42,30.385,6.337,19.276,19.636,7.744,-1.061,4.368,-1.299,-19.308,66,2,64
19.419,0.92,7.049,14.402,0.2,-18.933,23.221,0.917,9.205,21.647,3.019,-22.013,29,42,-13
9.255,-1.4,-34.784,25.097,3.822,9.234,38.101,6.727,10.853,24.699,-1.974,13.608,14,77,-63
33.635,-3.032,11.04,9.2,5.34,-7.358,36.723,6.247,-28.192,35.979,0.551,24.078,58,61,-3
16.028,4.284,10.052,6.969,0.549,-42.997,10.814,-1.389,-23.144,19.483,-1.717,4.942,21,27,-6
26.519,16.166,-10.107,9.881,-0.784,-36.671,13.682,3.556,-4.862,37.904,-0.77,-5.678,35,64,-29
41.043,20.68,32.135,29.742,1.128,6.813,8.395,-0.022,-9.549,45.705,0.179,21.714,75,52,23
30.249,3.832,0.955,26.045,8.938,-10.641,76.316,22.942,53.448,23.07,0.73,-2.523,80,89,-9
24.699,-1.974,13.608,4.368,-1.299,-19.308,9.2,5.34,-7.358,23.221,0.917,9.205,52,31,21
19.636,7.744,-1.061,9.255,-1.4,-34.784,16.028,4.284,10.052,36.723,6.247,-28.192,66,85,-19
30.385,6.337,19.276,37.904,-0.77,-5.678,6.969,0.549,-42.997,33.635,-3.032,11.04,90,41,49
45.705,0.179,21.714,38.101,6.727,10.853,55.191,8.177,43.42,9.881,-0.784,-36.671,82,80,2
35.979,0.551,24.078,10.814,-1.389,-23.144,26.045,8.938,-10.641,29.742,1.128,6.813,75,35,40
76.316,22.942,53.448,19.483,-1.717,4.942,14.402,0.2,-18.933,8.395,-0.022,-9.549,72,43,29
19.419,0.92,7.049,13.682,3.556,-4.862,30.249,3.832,0.955,41.043,20.68,32.135,35,56,-21
21.647,3.019,-22.013,23.07,0.73,-2.523,25.097,3.822,9.234,26.519,16.166,-10.107,45,64,-19
6.969,0.549,-42.997,24.699,-1.974,13.608,45.705,0.179,21.714,19.636,7.744,-1.061,27,71,-44
16.028,4.284,10.052,30.385,6.337,19.276,26.045,8.938,-10.641,9.2,5.34,-7.358,43,48,-5
23.221,0.917,9.205,76.316,22.942,53.448,10.814,-1.389,-23.144,9.881,-0.784,-36.671,106,21,85
4.368,-1.299,-19.308,13.682,3.556,-4.862,33.635,-3.032,11.04,8.395,-0.022,-9.549,33,45,-12
19.419,0.92,7.049,9.255,-1.4,-34.784,35.979,0.551,24.078,26.519,16.166,-10.107,42,62,-20
55.191,8.177,43.42,19.483,-1.717,4.942,37.904,-0.77,-5.678,23.07,0.73,-2.523,107,68,39
36.723,6.247,-28.192,41.043,20.68,32.135,21.647,3.019,-22.013,38.101,6.727,10.853,83,73,10
29.742,1.128,6.813,30.249,3.832,0.955,14.402,0.2,-18.933,25.097,3.822,9.234,58,45,13
8.632,-2.96,-45.845,84.097,23.103,26.726,38.185,18.389,-6.85,53.94,9.682,-20.929,103,69,34
54.972,16.473,15.805,9.983,1.446,-40.322,34.748,14.597,4.086,68.359,17.657,24.781,31,102,-71
63.672,19.689,-9.149,58.576,14.745,-4.042,68.951,17.928,40.456,64.419,23.924,0.328,94,143,-49
8.162,4.041,-35.428,43.961,12.154,-14.711,48.842,15.83,29.188,32.423,12.172,-24.845,41,103,-62
63.024,16.68,40.269,38.571,7.61,-0.98,23.651,-1.865,-20.316,49.723,18.076,-20.387,80,45,35
35.397,15.383,-43.748,60.883,23.124,-14.492,94.406,21.785,61.56,42.256,13.473,-17.287,45,143,-98
53.05,10.546,-0.418,43.563,16.31,-11.429,64.272,7.898,38.639,72.34,22.264,36.768,64,134,-70
21.869,14.465,-33.754,28.648,13.349,-8.42,68.98,19.987,1.704,30.062,16.161,-14.307,67,55,12
137.873,38.894,93.651,63.466,9.471,-5.242,50.81,9.85,18.913,49.067,6.002,-39.974,193,92,101
53.94,9.682,-20.929,34.748,14.597,4.086,43.961,12.154,-14.711,58.576,14.745,-4.042,93,116,-23
32.423,12.172,-24.845,49.723,18.076,-20.387,68.951,17.928,40.456,68.359,17.657,24.781,92,123,-31
23.651,-1.865,-20.316,94.406,21.785,61.56,64.419,23.924,0.328,9.983,1.446,-40.322,134,67,67
42.256,13.473,-17.287,48.842,15.83,29.188,38.571,7.61,-0.98,64.272,7.898,38.639,54,77,-23
72.34,22.264,36.768,63.024,16.68,40.269,8.632,-2.96,-45.845,30.062,16.161,-14.307,103,18,85
63.672,19.689,-9.149,38.185,18.389,-6.85,21.869,14.465,-33.754,137.873,38.894,93.651,87,145,-58
8.162,4.041,-35.428,49.067,6.002,-39.974,53.05,10.546,-0.418,84.097,23.103,26.726,55,159,-104
35.397,15.383,-43.748,28.648,13.349,-8.42,50.81,9.85,18.913,43.563,16.31,-11.429,48,94,-46
54.972,16.473,15.805,68.98,19.987,1.704,60.883,23.124,-14.492,63.466,9.471,-5.242,142,113,29
23.651,-1.865,-20.316,42.256,13.473,-17.287,32.423,12.172,-24.845,34.748,14.597,4.086,22,58,-36
64.272,7.898,38.639,53.94,9.682,-20.929,94.406,21.785,61.56,63.024,16.68,40.269,86,149,-63
68.951,17.928,40.456,8.632,-2.96,-45.845,9.983,1.446,-40.322,21.869,14.465,-33.754,84,12,72
58.576,14.745,-4.042,49.723,18.076,-20.387,137.873,38.894,93.651,53.05,10.546,-0.418,131,194,-63
72.34,22.264,36.768,48.842,15.83,29.188,28.648,13.349,-8.42,68.359,17.657,24.781,133,98,35
30.062,16.161,-14.307,63.466,9.471,-5.242,64.419,23.924,0.328,8.162,4.041,-35.428,92,71,21
49.067,6.002,-39.974,43.563,16.31,-11.429,63.672,19.689,-9.149,54.972,16.473,15.805,90,118,-28
68.98,19.987,1.704,38.571,7.61,-0.98,38.185,18.389,-6.85,35.397,15.383,-43.748,124,92,32
60.883,23.124,-14.492,50.81,9.85,18.913,84.097,23.103,26.726,43.961,12.154,-14.711,114,92,22
137.873,38.894,93.651,64.272,7.898,38.639,32.423,12.172,-24.845,8.632,-2.96,-45.845,235,32,203
28.648,13.349,-8.42,68.951,17.928,40.456,53.05,10.546,-0.418,34.748,14.597,4.086,84,77,7
30.062,16.161,-14.307,53.94,9.682,-20.929,9.983,1.446,-40.322,42.256,13.473,-17.287,145,102,43
68.359,17.657,24.781,58.576,14.745,-4.042,43.563,16.31,-11.429,23.651,-1.865,-20.316,135,73,62
63.024,16.68,40.269,63.672,19.689,-9.149,63.466,9.471,-5.242,35.397,15.383,-43.748,145,123,22
84.097,23.103,26.726,94.406,21.785,61.56,49.723,18.076,-20.387,68.98,19.987,1.704,173,118,55
43.961,12.154,-14.711,72.34,22.264,36.768,49.067,6.002,-39.974,38.571,7.61,-0.98,131,94,37
21.869,14.465,-33.754,50.81,9.85,18.913,8.162,4.041,-35.428,54.972,16.473,15.805,55,88,-33
64.419,23.924,0.328,38.185,18.389,-6.85,48.842,15.83,29.188,60.883,23.124,-14.492,96,101,-5
34.748,14.597,4.086,137.873,38.894,93.651,43.563,16.31,-11.429,30.062,16.161,-14.307,166,73,93
68.359,17.657,24.781,53.05,10.546,-0.418,42.256,13.473,-17.287,8.632,-2.96,-45.845,134,61,73
63.466,9.471,-5.242,28.648,13.349,-8.42,58.576,14.745,-4.042,94.406,21.785,61.56,97,152,-55
43.961,12.154,-14.711,23.651,-1.865,-20.316,68.98,19.987,1.704,68.951,17.928,40.456,94,135,-41
53.94,9.682,-20.929,32.423,12.172,-24.845,72.34,22.264,36.768,35.397,15.383,-43.748,88,124,-36
38.571,7.61,-0.98,64.419,23.924,0.328,84.097,23.103,26.726,54.972,16.473,15.805,106,140,-34
50.81,9.85,18.913,38.185,18.389,-6.85,9.983,1.446,-40.322,63.024,16.68,40.269,91,54,37
